keyword,gender,ages,period,ratio
손흥민,m,1,2024-01-01,78.45156
손흥민,m,1,2024-02-01,100.0
손흥민,m,1,2024-03-01,70.97576
손흥민,m,1,2024-04-01,57.0807
손흥민,m,1,2024-05-01,51.59371
손흥민,m,1,2024-06-01,53.24513
손흥민,m,1,2024-07-01,46.92355
손흥민,m,1,2024-08-01,44.71277
손흥민,m,1,2024-09-01,42.64405
손흥민,m,1,2024-10-01,39.74962
손흥민,m,1,2024-11-01,39.11923
손흥민,m,1,2024-12-01,40.98375
손흥민,m,2,2024-01-01,59.22474
손흥민,m,2,2024-02-01,100.0
손흥민,m,2,2024-03-01,48.95668
손흥민,m,2,2024-04-01,33.67574
손흥민,m,2,2024-05-01,33.2018
손흥민,m,2,2024-06-01,32.76431
손흥민,m,2,2024-07-01,30.18121
손흥민,m,2,2024-08-01,28.6811
손흥민,m,2,2024-09-01,39.38237
손흥민,m,2,2024-10-01,37.66566
손흥민,m,2,2024-11-01,37.39116
손흥민,m,2,2024-12-01,38.20609
손흥민,m,3,2024-01-01,53.2134
손흥민,m,3,2024-02-01,100.0
손흥민,m,3,2024-03-01,49.36892
손흥민,m,3,2024-04-01,30.46291
손흥민,m,3,2024-05-01,32.30296
손흥민,m,3,2024-06-01,30.18243
손흥민,m,3,2024-07-01,28.82311
손흥민,m,3,2024-08-01,25.29759
손흥민,m,3,2024-09-01,42.38117
손흥민,m,3,2024-10-01,43.78681
손흥민,m,3,2024-11-01,44.43842
손흥민,m,3,2024-12-01,47.23535
손흥민,m,4,2024-01-01,46.79025
손흥민,m,4,2024-02-01,100.0
손흥민,m,4,2024-03-01,48.10626
손흥민,m,4,2024-04-01,31.5632
손흥민,m,4,2024-05-01,32.05259
손흥민,m,4,2024-06-01,29.59675
손흥민,m,4,2024-07-01,28.06967
손흥민,m,4,2024-08-01,25.35427
손흥민,m,4,2024-09-01,41.877
손흥민,m,4,2024-10-01,47.0227
손흥민,m,4,2024-11-01,46.86739
손흥민,m,4,2024-12-01,54.11608
손흥민,m,5,2024-01-01,42.45261
손흥민,m,5,2024-02-01,100.0
손흥민,m,5,2024-03-01,46.12301
손흥민,m,5,2024-04-01,32.988
손흥민,m,5,2024-05-01,31.48465
손흥민,m,5,2024-06-01,28.34056
손흥민,m,5,2024-07-01,26.99887
손흥민,m,5,2024-08-01,26.26336
손흥민,m,5,2024-09-01,42.41077
손흥민,m,5,2024-10-01,49.16441
손흥민,m,5,2024-11-01,48.0766
손흥민,m,5,2024-12-01,55.80584
손흥민,m,6,2024-01-01,41.76956
손흥민,m,6,2024-02-01,100.0
손흥민,m,6,2024-03-01,48.35217
손흥민,m,6,2024-04-01,34.43459
손흥민,m,6,2024-05-01,29.85429
손흥민,m,6,2024-06-01,27.50181
손흥민,m,6,2024-07-01,25.10651
손흥민,m,6,2024-08-01,27.65792
손흥민,m,6,2024-09-01,41.37549
손흥민,m,6,2024-10-01,44.69336
손흥민,m,6,2024-11-01,42.65039
손흥민,m,6,2024-12-01,49.2975
손흥민,m,7,2024-01-01,43.17425
손흥민,m,7,2024-02-01,100.0
손흥민,m,7,2024-03-01,55.5929
손흥민,m,7,2024-04-01,43.86208
손흥민,m,7,2024-05-01,31.96374
손흥민,m,7,2024-06-01,26.73167
손흥민,m,7,2024-07-01,25.01503
손흥민,m,7,2024-08-01,32.18282
손흥민,m,7,2024-09-01,43.60274
손흥민,m,7,2024-10-01,44.30937
손흥민,m,7,2024-11-01,40.58399
손흥민,m,7,2024-12-01,49.59352
손흥민,m,8,2024-01-01,42.46845
손흥민,m,8,2024-02-01,100.0
손흥민,m,8,2024-03-01,59.69955
손흥민,m,8,2024-04-01,51.66258
손흥민,m,8,2024-05-01,32.85878
손흥민,m,8,2024-06-01,25.43156
손흥민,m,8,2024-07-01,24.85524
손흥민,m,8,2024-08-01,35.7088
손흥민,m,8,2024-09-01,45.51359
손흥민,m,8,2024-10-01,43.15769
손흥민,m,8,2024-11-01,40.24534
손흥민,m,8,2024-12-01,52.35996
손흥민,m,9,2024-01-01,39.74344
손흥민,m,9,2024-02-01,100.0
손흥민,m,9,2024-03-01,62.98932
손흥민,m,9,2024-04-01,58.23563
손흥민,m,9,2024-05-01,32.51879
손흥민,m,9,2024-06-01,22.56873
손흥민,m,9,2024-07-01,24.09967
손흥민,m,9,2024-08-01,39.61831
손흥민,m,9,2024-09-01,48.35497
손흥민,m,9,2024-10-01,40.8296
손흥민,m,9,2024-11-01,39.76341
손흥민,m,9,2024-12-01,53.12864
손흥민,m,10,2024-01-01,40.01122
손흥민,m,10,2024-02-01,100.0
손흥민,m,10,2024-03-01,68.01134
손흥민,m,10,2024-04-01,61.83966
손흥민,m,10,2024-05-01,36.22902
손흥민,m,10,2024-06-01,22.3124
손흥민,m,10,2024-07-01,25.28597
손흥민,m,10,2024-08-01,44.45186
손흥민,m,10,2024-09-01,53.95211
손흥민,m,10,2024-10-01,43.69026
손흥민,m,10,2024-11-01,45.19677
손흥민,m,10,2024-12-01,61.80629
손흥민,m,11,2024-01-01,37.50068
손흥민,m,11,2024-02-01,100.0
손흥민,m,11,2024-03-01,65.28035
손흥민,m,11,2024-04-01,56.10194
손흥민,m,11,2024-05-01,35.86955
손흥민,m,11,2024-06-01,22.72622
손흥민,m,11,2024-07-01,26.89503
손흥민,m,11,2024-08-01,39.70841
손흥민,m,11,2024-09-01,51.93532
손흥민,m,11,2024-10-01,42.56508
손흥민,m,11,2024-11-01,46.46971
손흥민,m,11,2024-12-01,62.83146
손흥민,f,1,2024-01-01,48.52863
손흥민,f,1,2024-02-01,100.0
손흥민,f,1,2024-03-01,33.51007
손흥민,f,1,2024-04-01,20.40031
손흥민,f,1,2024-05-01,15.4825
손흥민,f,1,2024-06-01,25.66277
손흥민,f,1,2024-07-01,17.3913
손흥민,f,1,2024-08-01,14.48833
손흥민,f,1,2024-09-01,13.58695
손흥민,f,1,2024-10-01,12.67232
손흥민,f,1,2024-11-01,9.95493
손흥민,f,1,2024-12-01,8.20519
손흥민,f,2,2024-01-01,36.18879
손흥민,f,2,2024-02-01,100.0
손흥민,f,2,2024-03-01,22.53223
손흥민,f,2,2024-04-01,11.75979
손흥민,f,2,2024-05-01,10.4527
손흥민,f,2,2024-06-01,17.08455
손흥민,f,2,2024-07-01,13.02992
손흥민,f,2,2024-08-01,10.41735
손흥민,f,2,2024-09-01,11.42639
손흥민,f,2,2024-10-01,10.53303
손흥민,f,2,2024-11-01,9.33601
손흥민,f,2,2024-12-01,6.42217
손흥민,f,3,2024-01-01,33.85881
손흥민,f,3,2024-02-01,100.0
손흥민,f,3,2024-03-01,25.3139
손흥민,f,3,2024-04-01,10.6339
손흥민,f,3,2024-05-01,11.30326
손흥민,f,3,2024-06-01,19.74289
손흥민,f,3,2024-07-01,14.54479
손흥민,f,3,2024-08-01,10.84002
손흥민,f,3,2024-09-01,13.92973
손흥민,f,3,2024-10-01,13.59838
손흥민,f,3,2024-11-01,13.49919
손흥민,f,3,2024-12-01,9.27522
손흥민,f,4,2024-01-01,31.12519
손흥민,f,4,2024-02-01,100.0
손흥민,f,4,2024-03-01,26.45847
손흥민,f,4,2024-04-01,10.76917
손흥민,f,4,2024-05-01,11.25688
손흥민,f,4,2024-06-01,21.04526
손흥민,f,4,2024-07-01,14.45413
손흥민,f,4,2024-08-01,10.74716
손흥민,f,4,2024-09-01,14.79606
손흥민,f,4,2024-10-01,14.03392
손흥민,f,4,2024-11-01,14.25894
손흥민,f,4,2024-12-01,9.97035
손흥민,f,5,2024-01-01,31.95584
손흥민,f,5,2024-02-01,100.0
손흥민,f,5,2024-03-01,28.98807
손흥민,f,5,2024-04-01,12.72688
손흥민,f,5,2024-05-01,13.0238
손흥민,f,5,2024-06-01,22.6742
손흥민,f,5,2024-07-01,16.35793
손흥민,f,5,2024-08-01,12.73693
손흥민,f,5,2024-09-01,17.04755
손흥민,f,5,2024-10-01,15.8637
손흥민,f,5,2024-11-01,15.87807
손흥민,f,5,2024-12-01,12.14405
손흥민,f,6,2024-01-01,29.84923
손흥민,f,6,2024-02-01,100.0
손흥민,f,6,2024-03-01,31.63449
손흥민,f,6,2024-04-01,15.75623
손흥민,f,6,2024-05-01,14.91724
손흥민,f,6,2024-06-01,22.60896
손흥민,f,6,2024-07-01,16.69892
손흥민,f,6,2024-08-01,13.01263
손흥민,f,6,2024-09-01,17.16244
손흥민,f,6,2024-10-01,15.16308
손흥민,f,6,2024-11-01,14.30263
손흥민,f,6,2024-12-01,12.34305
손흥민,f,7,2024-01-01,31.71467
손흥민,f,7,2024-02-01,100.0
손흥민,f,7,2024-03-01,35.48368
손흥민,f,7,2024-04-01,20.07881
손흥민,f,7,2024-05-01,18.30649
손흥민,f,7,2024-06-01,24.54855
손흥민,f,7,2024-07-01,19.4655
손흥민,f,7,2024-08-01,15.49638
손흥민,f,7,2024-09-01,19.69942
손흥민,f,7,2024-10-01,17.41964
손흥민,f,7,2024-11-01,16.01408
손흥민,f,7,2024-12-01,15.13304
손흥민,f,8,2024-01-01,31.09829
손흥민,f,8,2024-02-01,100.0
손흥민,f,8,2024-03-01,38.50099
손흥민,f,8,2024-04-01,23.00187
손흥민,f,8,2024-05-01,18.88926
손흥민,f,8,2024-06-01,24.19585
손흥민,f,8,2024-07-01,19.18333
손흥민,f,8,2024-08-01,15.25922
손흥민,f,8,2024-09-01,19.68691
손흥민,f,8,2024-10-01,17.71131
손흥민,f,8,2024-11-01,16.95346
손흥민,f,8,2024-12-01,17.55653
손흥민,f,9,2024-01-01,29.83107
손흥민,f,9,2024-02-01,100.0
손흥민,f,9,2024-03-01,43.6142
손흥민,f,9,2024-04-01,27.78281
손흥민,f,9,2024-05-01,21.59198
손흥민,f,9,2024-06-01,24.86978
손흥민,f,9,2024-07-01,21.12434
손흥민,f,9,2024-08-01,17.17171
손흥민,f,9,2024-09-01,22.84094
손흥민,f,9,2024-10-01,19.91136
손흥민,f,9,2024-11-01,19.76819
손흥민,f,9,2024-12-01,21.07398
손흥민,f,10,2024-01-01,29.00526
손흥민,f,10,2024-02-01,100.0
손흥민,f,10,2024-03-01,45.86859
손흥민,f,10,2024-04-01,30.8984
손흥민,f,10,2024-05-01,23.712
손흥민,f,10,2024-06-01,25.87693
손흥민,f,10,2024-07-01,23.20474
손흥민,f,10,2024-08-01,18.56272
손흥민,f,10,2024-09-01,25.63609
손흥민,f,10,2024-10-01,22.11218
손흥민,f,10,2024-11-01,22.24539
손흥민,f,10,2024-12-01,25.34276
손흥민,f,11,2024-01-01,29.63337
손흥민,f,11,2024-02-01,100.0
손흥민,f,11,2024-03-01,48.10227
손흥민,f,11,2024-04-01,31.08667
손흥민,f,11,2024-05-01,24.82553
손흥민,f,11,2024-06-01,27.02163
손흥민,f,11,2024-07-01,24.42815
손흥민,f,11,2024-08-01,19.70035
손흥민,f,11,2024-09-01,26.15386
손흥민,f,11,2024-10-01,24.74409
손흥민,f,11,2024-11-01,25.3577
손흥민,f,11,2024-12-01,27.95399
